OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30533,2023-156K,2023-10-26T16:00:00.999936,15.74535012,.0001009,53.0508,135.6891,81.5178,246.7077,0,U,58037,999,392,-.58802E-2,-.796695E-2,0
STARLINK-30560,2023-156L,2023-10-26T16:00:00.999936,15.74895750,.0001078,53.0512,135.6981,75.0112,249.4239,0,U,58038,999,367,-.55809E-2,-.770617E-2,0
STARLINK-30559,2023-156M,2023-10-26T16:00:00.999936,15.74332311,.0001091,53.0512,135.6849,74.2656,256.3911,0,U,58039,999,392,-.60149E-2,-.806799E-2,0
STARLINK-30555,2023-156N,2023-10-26T16:00:00.999936,15.75357194,.0000861,53.0515,135.7087,65.8449,253.8306,0,U,58040,999,392,-.52006E-2,-.735824E-2,0
STARLINK-30542,2023-156P,2023-10-26T16:00:00.999936,15.74317807,.0000833,53.0513,135.6861,61.6354,268.4274,0,U,58041,999,392,-.60003E-2,-.804484E-2,0
STARLINK-30563,2023-156Q,2023-10-26T16:00:00.999936,15.74011302,.0000951,53.0514,135.6794,71.0212,262.1709,0,U,58042,999,392,-.6174E-2,-.815714E-2,0
STARLINK-30564,2023-156R,2023-10-26T16:00:00.999936,15.74218833,.0000709,53.0514,135.6831,63.5428,268.0029,0,U,58043,999,393,-.60882E-2,-.811982E-2,0
STARLINK-30547,2023-156S,2023-10-26T16:00:00.999936,15.74061239,.0000866,53.0513,135.6804,76.5018,255.9877,0,U,58044,999,392,-.62576E-2,-.827363E-2,0
STARLINK-30550,2023-156T,2023-10-26T16:00:00.999936,15.73918027,.0001234,53.0514,135.6779,72.3546,261.6083,0,U,58045,999,392,-.62305E-2,-.819548E-2,0
STARLINK-30548,2023-156U,2023-10-26T16:00:00.999936,15.73783848,.0001269,53.0516,135.6765,62.5664,272.1803,0,U,58046,999,387,-.60432E-2,-.792859E-2,0
STARLINK-30529,2023-156V,2023-10-26T16:00:00.999936,15.73438529,.0001284,53.0514,135.6729,79.9812,256.2375,0,U,58047,999,366,-.25154E-2,-.343179E-2,0
STARLINK-30554,2023-156W,2023-10-26T16:00:00.999936,15.73597286,.0001048,53.0514,135.6742,77.3449,258.1539,0,U,58048,999,382,-.41078E-2,-.550331E-2,0
PSYCHE,2023-157A,2023-10-13T14:28:09.729696,15.29658471,.04672,30.0000,47.5426,123.5100,359.9800,0,U,58049,999,0,0,.1209E-4,-.37902E-5
FALCON HEAVY R/B,2023-157B,2023-10-13T14:28:09.729696,15.29658471,.04672,30.0000,47.5426,123.5100,359.9800,0,U,58050,999,0,0,.1209E-4,-.37902E-5
STARLINK-30568,2023-158A,2023-10-26T16:00:00.999936,15.84405715,.0001667,42.9985,65.7905,277.3950,69.4036,0,U,58051,999,307,-.31789E-2,-.693577E-2,0
STARLINK-30575,2023-158B,2023-10-26T16:00:00.999936,15.84404259,.0001669,42.9986,65.7864,276.9117,71.6794,0,U,58052,999,322,-.32074E-2,-.699287E-2,0
STARLINK-30577,2023-158C,2023-10-26T16:00:00.999936,15.84386798,.0001518,42.9984,65.7656,283.5663,73.2085,0,U,58053,999,322,-.33333E-2,-.724017E-2,0
STARLINK-30566,2023-158D,2023-10-26T16:00:00.999936,15.84378526,.0001735,42.9984,65.7594,285.7128,73.4178,0,U,58054,999,323,-.3368E-2,-.73076E-2,0
STARLINK-30544,2023-158E,2023-10-26T16:00:00.999936,15.84351976,.0001765,42.9983,65.7395,286.4303,80.5691,0,U,58055,999,318,-.34997E-2,-.756156E-2,0
STARLINK-30553,2023-158F,2023-10-26T16:00:00.999936,15.84348390,.0001549,42.9981,65.7403,276.0573,90.7598,0,U,58056,999,323,-.35319E-2,-.762365E-2,0
STARLINK-30541,2023-158G,2023-10-26T16:00:00.999936,15.84367219,.0001483,42.9983,65.7524,282.6454,79.4169,0,U,58057,999,323,-.34331E-2,-.743324E-2,0
STARLINK-30573,2023-158H,2023-10-26T16:00:00.999936,15.84364069,.0001663,42.9985,65.7473,272.5691,91.4711,0,U,58058,999,323,-.34902E-2,-.754643E-2,0
STARLINK-30582,2023-158J,2023-10-26T16:00:00.999936,15.84342166,.0001636,42.9985,65.7339,285.2152,84.0414,0,U,58059,999,323,-.3547E-2,-.765173E-2,0
STARLINK-30558,2023-158K,2023-10-26T16:00:00.999936,15.84399142,.0001452,42.9990,65.7810,281.0035,69.9517,0,U,58060,999,323,-.32458E-2,-.706812E-2,0
STARLINK-30579,2023-158L,2023-10-26T16:00:00.999936,15.84326147,.0001691,42.9985,65.7278,282.3630,89.5908,0,U,58061,999,323,-.35885E-2,-.772859E-2,0
STARLINK-30588,2023-158M,2023-10-26T16:00:00.999936,15.84278764,.0001693,42.9983,65.7061,274.4732,106.0343,0,U,58062,999,323,-.37683E-2,-.806574E-2,0
STARLINK-30585,2023-158N,2023-10-26T16:00:00.999936,15.84296469,.0001551,42.9986,65.7128,276.1784,101.7099,0,U,58063,999,323,-.37071E-2,-.795156E-2,0
STARLINK-30587,2023-158P,2023-10-26T16:00:00.999936,15.84320207,.0001636,42.9987,65.7235,271.2418,102.5748,0,U,58064,999,313,-.36385E-2,-.78251E-2,0
STARLINK-30576,2023-158Q,2023-10-26T16:00:00.999936,15.84395747,.0001913,42.9992,65.7746,264.7562,88.9369,0,U,58065,999,313,-.33143E-2,-.720603E-2,0
STARLINK-30571,2023-158R,2023-10-26T16:00:00.999936,15.84382903,.0001569,42.9993,65.7676,279.5866,76.8949,0,U,58066,999,323,-.33467E-2,-.72659E-2,0
STARLINK-30567,2023-158S,2023-10-26T16:00:00.999936,15.84308897,.0001793,42.9994,65.7203,283.6751,91.8757,0,U,58067,999,323,-.36437E-2,-.783192E-2,0
STARLINK-30569,2023-158T,2023-10-26T16:00:00.999936,15.84270869,.000158,42.9987,65.7027,277.2484,104.7494,0,U,58068,999,323,-.37872E-2,-.809952E-2,0
STARLINK-30480,2023-158U,2023-10-26T16:00:00.999936,15.84246484,.0001388,42.9988,65.6951,281.4639,103.4138,0,U,58069,999,323,-.385E-2,-.821264E-2,0
STARLINK-30532,2023-158V,2023-10-26T16:00:00.999936,15.84229925,.0001691,42.9986,65.6896,275.6677,111.4886,0,U,58070,999,323,-.3905E-2,-.831457E-2,0
STARLINK-30513,2023-158W,2023-10-26T16:00:00.999936,15.84226539,.0001363,42.9983,65.6872,281.9269,106.1925,0,U,58071,999,323,-.39069E-2,-.831591E-2,0
STARLINK-30506,2023-158X,2023-10-26T16:00:00.999936,15.84206166,.0001502,42.9985,65.6808,281.8560,108.6368,0,U,58072,999,307,-.39597E-2,-.841118E-2,0
YUNHAI 1-04,2023-159A,2023-10-26T04:08:29.306688,14.33198798,.0000035,98.5906,322.0447,330.0364,119.9515,0,U,58073,999,159,.33862E-2,.9271E-4,0
CZ-2D R/B,2023-159B,2023-10-20T21:31:38.647776,14.28639726,.0098745,98.5175,316.5814,265.4654,93.5244,0,U,58074,999,84,.76547E-4,.159E-5,0
STARLINK-30604,2023-160A,2023-10-26T16:00:00.999936,15.87672038,.0001976,42.9996,119.5138,268.4881,151.3985,0,U,58075,999,255,-.29533E-2,-.751724E-2,0
STARLINK-30500,2023-160B,2023-10-26T16:00:00.999936,15.87668268,.0001886,42.9994,119.5137,271.0715,149.0086,0,U,58076,999,255,-.29445E-2,-.749501E-2,0
STARLINK-30613,2023-160C,2023-10-26T16:00:00.999936,15.87710957,.0001651,42.9995,119.5083,275.4414,146.6919,0,U,58077,999,222,-.29742E-2,-.757878E-2,0
STARLINK-30597,2023-160D,2023-10-26T16:00:00.999936,15.87750193,.0001681,42.9999,119.5036,272.5475,151.4784,0,U,58078,999,259,-.30073E-2,-.767031E-2,0
STARLINK-30598,2023-160E,2023-10-26T16:00:00.999936,15.87800744,.000177,42.9996,119.4975,272.4096,154.0980,0,U,58079,999,255,-.30384E-2,-.776156E-2,0
STARLINK-30603,2023-160F,2023-10-26T16:00:00.999936,15.87824615,.0001405,43.0000,119.4943,276.3570,151.4976,0,U,58080,999,255,-.30467E-2,-.778842E-2,0
STARLINK-30602,2023-160G,2023-10-26T16:00:00.999936,15.87906054,.0001583,43.0000,119.4837,269.1851,162.6473,0,U,58081,999,259,-.31261E-2,-.800498E-2,0
STARLINK-30610,2023-160H,2023-10-26T16:00:00.999936,15.87867128,.0001836,43.0000,119.4886,277.4837,152.5012,0,U,58082,999,259,-.30819E-2,-.788784E-2,0
STARLINK-30551,2023-160J,2023-10-26T16:00:00.999936,15.87950275,.0001759,42.9999,119.4779,273.3554,160.8232,0,U,58083,999,259,-.31503E-2,-.807876E-2,0
STARLINK-30586,2023-160K,2023-10-26T16:00:00.999936,15.87986597,.0001725,43.0000,119.4729,277.0371,159.1051,0,U,58084,999,259,-.31722E-2,-.814362E-2,0
STARLINK-30609,2023-160L,2023-10-26T16:00:00.999936,15.88048503,.0001623,43.0000,119.4643,275.0460,164.4773,0,U,58085,999,259,-.322E-2,-.82789E-2,0
STARLINK-30583,2023-160M,2023-10-26T16:00:00.999936,15.88092326,.0001855,43.0001,119.4584,278.8636,162.9796,0,U,58086,999,259,-.32578E-2,-.838533E-2,0
STARLINK-30557,2023-160N,2023-10-26T16:00:00.999936,15.88010902,.0001658,43.0003,119.4697,276.0919,161.4391,0,U,58087,999,259,-.31889E-2,-.819174E-2,0
STARLINK-30591,2023-160P,2023-10-26T16:00:00.999936,15.88164038,.0001632,43.0002,119.4491,270.1609,175.5392,0,U,58088,999,259,-.33252E-2,-.857063E-2,0
STARLINK-30584,2023-160Q,2023-10-26T16:00:00.999936,15.88193556,.0001866,43.0002,119.4446,283.4769,164.1330,0,U,58089,999,255,-.333E-2,-.859445E-2,0
STARLINK-30590,2023-160R,2023-10-26T16:00:00.999936,15.88124447,.0001829,43.0004,119.4546,283.5879,160.0963,0,U,58090,999,259,-.32764E-2,-.844134E-2,0
STARLINK-30608,2023-160S,2023-10-26T16:00:00.999936,15.88203776,.000132,43.0002,119.4423,281.4795,167.0940,0,U,58091,999,255,-.33136E-2,-.855784E-2,0
STARLINK-30615,2023-160T,2023-10-26T16:00:00.999936,15.88271529,.0001656,42.9995,119.4332,274.4358,177.7650,0,U,58092,999,255,-.34022E-2,-.879427E-2,0
STARLINK-30578,2023-160U,2023-10-26T16:00:00.999936,15.88246363,.0001442,43.0001,119.4366,281.5632,169.1447,0,U,58093,999,255,-.33757E-2,-.87211E-2,0
STARLINK-30574,2023-160V,2023-10-26T16:00:00.999936,15.88315992,.0001923,43.0002,119.4266,269.8389,184.7347,0,U,58094,999,259,-.34575E-2,-.89432E-2,0
STARLINK-30570,2023-160W,2023-10-26T16:00:00.999936,15.88356721,.0001507,42.9999,119.4206,274.3282,182.6796,0,U,58095,999,255,-.34931E-2,-.904168E-2,0
STARLINK-30581,2023-160X,2023-10-26T16:00:00.999936,15.88392503,.0001859,43.0001,119.4151,280.6108,178.5708,0,U,58096,999,259,-.35274E-2,-.913845E-2,0
STARLINK A,2023-161A,2023-10-26T16:00:00.999936,15.89977098,.0000852,53.0565,218.1676,81.7836,322.7928,0,U,58097,999,195,-.28094E-2,-.790282E-2,0
STARLINK B,2023-161B,2023-10-26T16:00:00.999936,15.89970840,.00006,53.0569,218.1672,83.6436,321.1026,0,U,58098,999,195,-.27927E-2,-.785664E-2,0
STARLINK C,2023-161C,2023-10-26T16:00:00.999936,15.90094874,.0000512,53.0564,218.1633,95.0902,311.5695,0,U,58099,999,169,-.28293E-2,-.799737E-2,0
STARLINK D,2023-161D,2023-10-26T16:00:00.999936,15.90046405,.0000681,53.0565,218.1648,87.6056,318.2527,0,U,58100,999,195,-.28181E-2,-.795066E-2,0
STARLINK E,2023-161E,2023-10-26T16:00:00.999936,15.90133291,.0000597,53.0566,218.1620,90.5715,316.7678,0,U,58101,999,195,-.2839E-2,-.803726E-2,0
STARLINK F,2023-161F,2023-10-26T16:00:00.999936,15.90227007,.0000662,53.0566,218.1590,78.9932,329.6772,0,U,58102,999,195,-.28716E-2,-.815785E-2,0
STARLINK G,2023-161G,2023-10-26T16:00:00.999936,15.90293053,.0000661,53.0567,218.1573,86.5341,323.1486,0,U,58103,999,195,-.2883E-2,-.821296E-2,0
STARLINK H,2023-161H,2023-10-26T16:00:00.999936,15.90359932,.0000538,53.0567,218.1551,92.9063,317.7898,0,U,58104,999,195,-.29049E-2,-.829569E-2,0
STARLINK J,2023-161J,2023-10-26T16:00:00.999936,15.90439841,.0000545,53.0568,218.1526,82.8876,328.9920,0,U,58105,999,195,-.29237E-2,-.837618E-2,0
STARLINK K,2023-161K,2023-10-26T16:00:00.999936,15.90480336,.0000593,53.0568,218.1513,94.8692,317.7149,0,U,58106,999,180,-.2938E-2,-.842978E-2,0
STARLINK L,2023-161L,2023-10-26T16:00:00.999936,15.90580268,.0000688,53.0570,218.1483,83.5977,330.3996,0,U,58107,999,195,-.29663E-2,-.85442E-2,0
STARLINK M,2023-161M,2023-10-26T16:00:00.999936,15.90605868,.0000467,53.0570,218.1473,112.3920,302.1230,0,U,58108,999,195,-.29808E-2,-.859188E-2,0
STARLINK N,2023-161N,2023-10-26T16:00:00.999936,15.90672515,.0000567,53.0571,218.1453,90.3556,325.1969,0,U,58109,999,195,-.29907E-2,-.864526E-2,0
STARLINK P,2023-161P,2023-10-26T16:00:00.999936,15.90733221,.0000672,53.0572,218.1434,79.9273,336.5719,0,U,58110,999,195,-.30077E-2,-.871519E-2,0
STARLINK Q,2023-161Q,2023-10-26T16:00:00.999936,15.90810395,.0000527,53.0573,218.1411,94.1005,323.5449,0,U,58111,999,195,-.30344E-2,-.970963E-2,.28681E-3
STARLINK R,2023-161R,2023-10-26T16:00:00.999936,15.90872031,.0000589,53.0571,218.1390,91.2258,327.3897,0,U,58112,999,206,-.30491E-2,-.978683E-2,.29112E-3
STARLINK S,2023-161S,2023-10-26T16:00:00.999936,15.90941546,.0000523,53.0571,218.1367,102.0195,317.6492,0,U,58113,999,195,-.30743E-2,-.990182E-2,.29754E-3
STARLINK T,2023-161T,2023-10-26T16:00:00.999936,15.91040051,.0000471,53.0572,218.1338,115.1372,305.9333,0,U,58114,999,195,-.31088E-2,-.100621E-1,.3066E-3
STARLINK U,2023-161U,2023-10-26T16:00:00.999936,15.91105857,.0000473,53.0571,218.1315,102.3801,319.7152,0,U,58115,999,195,-.31247E-2,-.1014699E-1,.3115E-3
STARLINK V,2023-161V,2023-10-26T16:00:00.999936,15.91168252,.0000467,53.0572,218.1295,122.6947,300.3731,0,U,58116,999,195,-.31464E-2,-.1024927E-1,.3174E-3
STARLINK W,2023-161W,2023-10-26T16:00:00.999936,15.91260639,.0000462,53.0571,218.1268,104.5545,319.8579,0,U,58117,999,195,-.31734E-2,-.1038513E-1,.32536E-3
YAOGAN-39 04A,2023-163A,2023-10-26T17:32:58.867296,15.23040139,.0007631,34.9965,290.0831,283.4048,243.0959,0,U,58141,999,44,0,-.37E-6,0
CZ-2D R/B,2023-163B,2023-10-27T05:23:48.446592,15.23316284,.0010334,35.0076,287.0196,233.6854,126.2907,0,U,58142,999,51,.98401E-3,.24003E-3,0
YAOGAN-39 04B,2023-163C,2023-10-24T10:23:15.392256,15.23369027,.000909,34.9975,304.5376,273.5455,230.7754,0,U,58143,999,8,0,-.37E-6,0
CZ-2D DEB,2023-163D,2023-10-26T10:30:44.845056,15.23525965,.0009425,34.9976,291.9172,293.6334,66.3401,0,U,58144,999,39,.12893E-2,.31685E-3,0
YAOGAN-39 04C,2023-163E,2023-10-26T17:31:21.922176,15.23624319,.0010688,34.9894,290.0740,306.2125,220.1638,0,U,58145,999,44,0,-.37E-6,0
SHENZHOU-17 (SZ-17),2023-164A,2023-10-26T10:29:17.841120,15.60292320,.0004816,41.4711,76.7859,329.8861,30.1700,0,U,58146,999,14235,.27986E-3,.2328E-3,0
2023-164B,2023-164B,2023-10-26T19:21:26.147232,16.02926108,.0107589,41.4792,74.3013,127.2032,234.1347,0,U,58147,999,11,.43087E-2,.5848651E-1,.74357E-5
